method,label,mae_slot,rmse_slot,r2_slot,mae_daily,rmse_daily,r2_daily,fallback_days,seconds
rolling,滚动均值 (K=7),0.09394360709384804,0.12074054446445322,0.8709066921239987,0.07836415264708682,0.08817848147648032,0.23169318769590774,0,0.005767300000115938
sarima,"SARIMA(1, 0, 1, 1, 0, 1, 7)",0.06662919480497408,0.0854375088294574,0.9353610008975309,0.014186285604991848,0.022287517423638426,0.9509168027993993,35,41.98727389999931
holtwinters,Holt-Winters (m=7),0.06563051280447484,0.08397741269665326,0.9375514369508255,0.01035545720386735,0.015791496482265303,0.9753591305022532,0,7.967242400000032
