model,R2,MAE,RMSE
小区负载,0.9745357362316591,166.44312727495432,224.63835091712198
光伏发电实际功率,0.9898596116736981,154.77338130707463,301.76023881044165
光伏白天时段(6:00-18:00),0.973541108261006,300.4587775353062,426.2252980990142
