stage,quantile_overnight,quantile_day,days,plan_kwh,adjusted_kwh,plan_cost,adjustment_cost,emergency_kwh,emergency_cost,spill_kwh,charge_kwh,discharge_kwh,total_cost,storage_end,seconds
coarse,0.6,0.55,334,20303331.944144137,21006987.84218141,12349281.472516997,852529.3695405814,65178.386537003564,370539.5817514228,1868026.1251734865,6659432.028498981,5394481.419920717,13572350.423809001,5769.801423857627,299.61918539999897
coarse,0.6,0.45,334,19904624.662110083,20720723.54188773,12051636.371718556,1026754.975208286,115128.42539963867,661381.9736306315,1628164.9963203813,6677770.727475884,5409273.251475574,13739773.320557473,5710.482087941255,301.1948364999989
coarse,0.7,0.25,334,19157517.210779883,20254704.67851466,11465045.372805862,1533880.8991329107,285279.117556273,1656436.014112,1351663.488449317,6575626.648236333,5326495.835581358,14655362.286050772,5554.112432990734,301.35882899999706
coarse,0.7,0.45,334,20006237.01919714,20796346.10440982,12096259.69389571,996629.3126457697,109666.29729241735,635922.9802638423,1700134.7579513115,6668236.27125907,5401548.122474826,13728811.986805322,5710.482087941255,299.7503993999999
coarse,0.7,0.35,334,19595707.520787276,20526665.85001393,11791374.89927009,1233776.130366849,181492.16507712373,1054165.1140088206,1507417.4099865386,6641216.763184243,5379665.653046402,14079316.14364576,5634.069536030305,301.61394409999775
coarse,0.7,0.55,334,20404849.332513403,21082836.26922834,12393949.061538195,823756.99385559,62481.243706960224,359412.2191149283,1944329.875789316,6642840.100083446,5381041.9579041265,13577118.274508713,5769.801423857627,300.5325601000004
coarse,0.7,0.75,334,21282529.263448745,21836648.441306837,13066569.441264194,645878.2104824181,16333.901154971109,91083.12187603168,2687027.256817583,6460111.018391573,5233345.427714015,13803530.773622643,5866.665818784482,130.2549302999978
coarse,0.7,0.65,334,20817908.413590554,21417414.152652495,12707819.769484129,707570.9291911523,33195.40975250824,188533.38289058578,2262696.1311668553,6574718.577523421,5325994.641251941,13603924.081565866,5810.96070505943,133.3011447999961
coarse,0.8,0.25,334,19284509.040287193,20359161.378323033,11520571.444854077,1506670.1487115624,272490.3504585827,1594769.8025222775,1443311.537181448,6575731.300754873,5326580.604121373,14622011.396087917,5554.112432990734,133.67162070000632
coarse,0.8,0.35,334,19722658.80438658,20630732.562953297,11846940.837614538,1206861.7476592034,173416.51102628946,1016296.9994342763,1604863.7831225987,6633580.921867847,5373485.125977526,14070099.584708016,5634.069536030305,132.43167909999465
coarse,0.8,0.45,334,20133151.591404818,20902481.297088273,12151876.336510973,972994.278167627,103904.45775591568,609758.6792404829,1802855.083604484,6655883.784358099,5391542.608085036,13734629.293919083,5710.482087941255,131.93879309999465
coarse,0.8,0.55,334,20531722.096250128,21189077.606378585,12449653.750749948,799756.8941322125,59910.18733200247,349361.73058684374,2051230.2730699256,6625839.4868976595,5367271.461223643,13598772.375469003,5769.801423857627,131.6439051000052
coarse,0.8,0.75,334,21409229.910116617,21946277.667254407,13122366.082438344,625834.5168919823,14694.05603189826,85306.75416136127,2799107.834555611,6438578.40305726,5215904.009293218,13833507.353491688,5866.665818784482,131.41466950000176
coarse,0.8,0.65,334,20944685.770600013,21525578.44230263,12763548.76296799,686078.2809883157,31608.814066334282,183153.97878054818,2373009.2560163825,6555058.414967709,5310069.909581815,13632781.022736855,5810.96070505943,132.19199449999724
coarse,0.9,0.25,334,19476684.73265577,20523258.57543627,11604880.295101825,1470443.9868317565,261028.13428460085,1538988.1255305863,1595714.1144629305,6576954.477901101,5327571.377609815,14614312.407464167,5554.112432990734,121.19995530000597
coarse,0.9,0.55,334,20723610.10289941,21359591.5046483,12534146.142207092,775924.221619016,57428.22876133036,339583.25465833343,2222832.5930290907,6607048.011844317,5352050.366430435,13649653.618484441,5769.801423857627,117.99517259999993
coarse,0.9,0.45,334,20325198.317478746,21071347.416635625,12236308.46095033,946542.7972206386,99663.00109003102,591448.6459131511,1970254.4069860035,6641280.308041853,5379713.792268876,13774299.90408412,5710.482087941255,118.21880790000432
coarse,0.9,0.65,334,21136527.748038467,21699167.618120953,12848119.608923623,665069.4729210816,29540.956509822103,175199.25671703523,2548654.053564567,6533355.892407932,5292490.866308397,13688388.33856174,5810.96070505943,117.71129870000004
coarse,0.9,0.75,334,21600963.315272905,22120411.283462647,13207004.039869726,605297.6178176486,13359.514320859098,80768.71219749431,2976251.227262621,6415713.570374083,5197383.494819845,13893070.369884867,5866.665818784482,117.97867670000414
coarse,0.9,0.35,334,19914788.243968,20798613.02706315,11931309.868743867,1177337.8444195623,165543.9763578696,979302.9906177175,1765931.1737941073,6628004.81013057,5368968.475470332,14087950.703781145,5634.069536030305,121.32417310000164
fine,0.55,0.5,334,20056526.888087414,20827495.932871,12179251.036797183,949401.4460869236,89835.59635548294,510860.1936360193,1709018.4360982846,6681091.234064732,5411967.635903201,13639512.676520124,5738.64512124295,147.3504510000057
fine,0.55,0.525,334,20155095.01582667,20899779.782062836,12252979.978293605,909159.0411800302,77892.71704754545,441573.9263547943,1770462.2031095657,6675414.077236955,5407393.276202808,13603712.945828428,5752.173597595023,147.59874860000127
fine,0.55,0.55,334,20255717.180578128,20975002.115012925,12328304.075628975,870070.3241274423,66902.68068622045,378196.25504562585,1836269.1392716945,6667303.359459613,5400857.19799883,13576570.654802045,5769.801423857627,147.81617850000475
fine,0.575,0.525,334,20178754.14521582,20915587.077428382,12263399.682968715,900229.7699809648,76583.1844053834,435568.81668409565,1785617.7953237325,6671951.8167590955,5404588.845215747,13599198.269633776,5752.173597595023,147.8012166000044
fine,0.55,0.575,334,20357395.927519433,21052314.55419489,12404620.97595299,833818.803468544,57298.51358986449,322645.9999906556,1906341.9340202573,6655090.220658265,5391008.581860426,13561085.77941219,5775.939695430186,154.24772930000472
fine,0.575,0.55,334,20279324.354773134,20990609.740272246,12338708.88426779,861093.9237967661,65976.18327486404,374110.2240899124,1851692.4994142468,6663396.873698649,5397692.944532445,13573913.032154469,5769.801423857627,156.5895640000017
fine,0.575,0.5,334,20080142.089262348,20843433.773532137,12189647.882217605,940498.9085011006,88258.95250737919,503521.2751956362,1723955.60407626,6678059.8068808345,5409512.179884242,13633668.06591434,5738.64512124295,157.1093605999995
fine,0.55,0.6,334,20459222.088214263,21132904.130227055,12481881.492205692,802367.9612027572,49038.240595068826,274762.48305563617,1981434.4473820073,6640723.201526206,5379404.7730527595,13559011.936464086,5788.255214443927,159.13501369999722
fine,0.575,0.575,334,20380992.668623127,21067976.57837073,12415024.675023997,824885.6022274907,56623.249387564014,319796.39457054227,1922134.6386810215,6650848.406514883,5387572.712404281,13559706.67182203,5775.939695430186,136.3547847000009
fine,0.6,0.5,334,20104165.014605924,20860077.216301255,12200214.47202267,932088.4669691215,86993.92260430157,497579.8661558617,1739896.5949660859,6675098.869913522,5407113.820940719,13629882.805147652,5738.64512124295,137.84158970000135
fine,0.575,0.6,334,20482823.54807849,21148773.698319778,12492289.500712745,793506.6976988718,48387.80134783728,271985.17527159123,1997519.9330993735,6636163.42851636,5375711.356914782,13557781.373683209,5788.255214443927,139.3369767999975
fine,0.6,0.525,334,20202807.719182245,20932022.846219055,12273984.103179643,891696.1421223534,75588.59545991263,431008.0138759005,1801717.0243303953,6668488.400119948,5401783.477738035,13596688.259177895,5752.173597595023,139.031667999996
fine,0.6,0.575,334,20405004.83370996,21084615.94249561,12425601.861798026,816593.5679440736,56034.91589409605,317275.388075716,1938993.202903575,6646598.229719443,5384130.069199979,13559470.817817817,5775.939695430186,144.16129610000644
fine,0.625,0.5,334,20128837.83888646,20877664.036927164,12211044.115894921,924063.062749614,85972.77303793622,492852.56854283396,1757080.3707032814,6671845.687399619,5404478.743104456,13627959.747187369,5738.64512124295,143.3241016000029
fine,0.625,0.525,334,20227512.403365243,20949643.550462585,12284832.440542199,883748.2864339849,74745.27170339292,427213.88393440255,1819196.6777039897,6664792.227032614,5398789.577537298,13595794.610910587,5752.173597595023,143.73079389999475
