series,time,samples,old_MAE,new_MAE,new_minus_old_MAE,old_RMSE,new_RMSE,old_bias,new_bias,old_corr,new_corr
load,00:10,334,171.13703233532934,167.22234873090724,-3.9146836044220947,247.17681235671893,229.69304118352886,-0.993145508982026,-2.026783582849636,0.925239795468208,0.9385720298951564
load,00:20,334,173.52212350299402,167.30909397914016,-6.213029523853862,248.89460896296467,227.29630533374132,0.07233248502991896,-0.5237544337653454,0.9162280775481638,0.9339169603824429
load,00:30,334,192.3403892215569,176.54205622469817,-15.798332996858733,267.0206039948686,239.94910486022155,-1.9759880239521055,-1.345541619090863,0.9035346413254429,0.9262391093318468
load,00:40,334,167.35612664670657,154.86776301398436,-12.488363632722212,242.88071491986227,212.13355966234838,-1.4379407185628834,-1.4648836452046328,0.916438510262157,0.940027358560281
load,00:50,334,174.95779431137726,159.89252241498485,-15.065271896392403,248.57070310930501,220.94926840492354,-3.7928383233532963,-4.1389580097895475,0.9106860064824284,0.9331776528521978
load,01:00,334,194.31898203592814,183.3875985018292,-10.931383534098956,271.52524149655125,248.00544806311927,-7.298203592814361,-6.800463742409315,0.8949969297015476,0.9162145925510329
load,01:10,334,184.7286751497006,167.85177076049084,-16.876904389209756,262.3067567554076,233.01891559387732,-4.125268562874264,-3.211617251833337,0.9002368760392829,0.9246470238918012
load,01:20,334,179.70219236526944,165.94464056835125,-13.757551796918193,245.97319288847692,219.5593802182279,-2.1409067365269303,-1.7948185611957856,0.9055102150422114,0.9285329861923316
load,01:30,334,175.36338323353297,172.45589752583228,-2.907485707700687,242.34833992740462,227.57554452466547,-3.492544910179647,-3.8282390783045046,0.9014391800768721,0.9180408625138514
load,01:40,334,165.3485209580838,159.0145416669868,-6.333979291097023,241.91182457475645,224.55698448669904,-2.5611757485029947,-2.448086331642349,0.9030896316436718,0.9208067982968022
load,01:50,334,165.46268757485032,156.23172343745696,-9.230964137393357,236.02597203681387,217.8386486833174,-1.532180988023944,-1.529415923360552,0.9080766338812066,0.9257199595617057
load,02:00,334,181.0374251497006,172.41528593583593,-8.62213921386467,243.48973751351656,227.05108362801062,-1.2810479041916192,-1.8795039728935778,0.8993007401548423,0.9173058070350782
load,02:10,334,177.11966047904193,170.16762840884084,-6.952032070201085,251.15879121130808,231.99210258239734,-0.45188173652692154,-0.37042773344016283,0.8927726766987474,0.9129558536606025
load,02:20,334,173.2541241017964,163.93789163100033,-9.31623247079608,250.0264489565581,228.47176279159095,-1.97239595808384,-1.292424191517826,0.8920982484234459,0.9138267625577818
load,02:30,334,162.54767964071857,153.25837762200578,-9.289302018712789,228.39562937759433,208.10338486750013,-3.8799850299401086,-3.3517035412788303,0.9053375977221474,0.9250048350287744
load,02:40,334,154.26907739520956,151.51173600359644,-2.7573413916131244,217.52724493850158,200.72909873349894,-1.4424321856287416,-1.0423621410476505,0.9116961075022186,0.9281444126456407
load,02:50,334,162.80993637724552,157.22302332084914,-5.586913056396384,223.5345333256961,206.0470867898281,-2.338363622754492,-1.5472591514739054,0.9066185653986358,0.9240261104223565
load,03:00,334,182.81574850299398,170.42145708316528,-12.394291419828704,238.06998274358935,219.5395657198601,-5.956706586826369,-4.4936916251932715,0.8948200235735981,0.9141600495005483
load,03:10,334,165.28532919161677,154.92702394634148,-10.35830524527529,221.46828626883035,207.83140978533763,-3.8056977544910007,-2.1488414082972174,0.9042515698404516,0.9191898859748495
load,03:20,334,157.70434296407188,148.75740199739602,-8.946940966675868,213.20530421185106,200.25006053423624,-1.4142279940119737,-0.2580374125628231,0.9109616297688927,0.9246293150185387
load,03:30,334,158.26854790419162,150.48484444145154,-7.783703462740078,210.13416544484286,193.1641760463283,-1.3488772455089864,-0.7257824604310054,0.916722761245666,0.9324637913469213
load,03:40,334,159.30000643712575,155.09562248367328,-4.204383953452464,219.73368100459368,205.71752371616623,-0.6647345808383097,0.21680366066367177,0.9087303349116648,0.9235035054983326
load,03:50,334,148.16789056886228,149.57861964669277,1.4107290778304957,211.79830858096267,201.90485896440916,-0.6588693113772514,-0.08716963892359667,0.9089007798327,0.9212023059354695
load,04:00,334,167.39770958083835,160.99880112602082,-6.39890845481753,226.80651778411547,218.07388331315377,-1.8138473053892266,-1.4927275322982028,0.8912546135332753,0.9038053655736012
load,04:10,334,155.6955880239521,150.941730645979,-4.753857377973105,215.89660685720506,206.7196073728828,-2.9887125748502927,-1.0310607489967154,0.9048892882873075,0.916462253555334
load,04:20,334,149.21149685628743,147.93326285609933,-1.2782340001880925,211.3605928223795,201.46474167659204,-4.283163023952089,-2.1375221394829227,0.9117324115628527,0.9231265735525106
load,04:30,334,164.96432634730536,162.96404934261972,-2.0002770046856426,220.83409072824207,211.39478523882505,-4.875254491017956,-4.0760613664171945,0.9027686633504486,0.9146512194737094
load,04:40,334,152.3926179640719,153.10924747964864,0.7166295155767557,208.79200137275149,199.7111922214049,-3.3475077844311523,-2.119808589749123,0.9120835172718058,0.9233258907457704
load,04:50,334,150.12107350299402,154.35055747630477,4.229483973310749,201.58771647733894,196.60727383774318,-0.9211040419161903,1.1879400367302786,0.9154861375860022,0.9232652705857984
load,05:00,334,163.28844311377244,166.6765664807741,3.3881233670016684,216.89028394642133,217.09254122082916,0.32877245508983244,2.643698257828476,0.8999122554572248,0.903668635659614
load,05:10,334,156.8903387724551,152.86297681283375,-4.027361959621345,214.1214502382652,206.0535281589221,-1.2292264970060034,0.9460237321164208,0.9073035321403599,0.9175781829986239
load,05:20,334,151.19495838323357,149.47708131715146,-1.71787706608211,204.7448731347312,193.3194646902106,-4.679816167664671,-2.4575323649151257,0.9183192808072349,0.9301436899941379
load,05:30,334,154.71766467065868,154.63085871568353,-0.08680595497514787,206.25143083916674,198.8150375869851,-7.354610778443111,-4.852258571019841,0.9071131203887149,0.917259397162256
load,05:40,334,154.46992065868264,147.40717687943177,-7.062743779250866,200.3448945416263,192.84409401416892,-6.7156823353293476,-4.010664119845119,0.8902101551890597,0.9039292302590598
load,05:50,334,149.2152345808383,145.4900581033689,-3.725176477469404,202.1032698157601,196.88117467456203,-5.1195172155688455,-1.9626687331708337,0.9476558545480195,0.9513753435528003
load,06:00,334,167.8011976047904,173.6878458944821,5.8866482896917205,223.9456821054664,223.84583387181036,-4.218113772455095,-0.33396606710871285,0.9736336496427119,0.9735763716609837
load,06:10,334,144.5354353293413,148.54344590746717,4.008010578125862,191.48366599147883,188.6673240923995,-3.7718404191616575,0.806524262684216,0.9824569354943782,0.9828968612763636
load,06:20,334,141.88623173652692,141.256939886845,-0.6292918496819198,184.75957215930865,178.1824025914855,-3.733035928143715,1.682868378847689,0.9815075325208414,0.982744017525883
load,06:30,334,159.19552395209578,155.4428616686537,-3.7526622834420778,209.15417633677976,202.39369456178076,-4.058068862275425,1.809745543285341,0.9765801245126632,0.9779957074318251
load,06:40,334,151.0759595808383,152.68465276671228,1.6086931858739888,200.14518734639776,195.5324055883262,-4.470364071856282,0.6872333580194614,0.9796464531121495,0.980488909133556
load,06:50,334,149.72391497005992,149.9325327866659,0.20861781660596534,198.66373574929227,196.48932702096502,-4.080174251496997,0.6905668983570303,0.97593429625356,0.9764205205733355
load,07:00,334,153.59994011976042,155.99334153016602,2.393401410405602,205.9308465255958,201.99227404961107,-3.152335329341315,1.9164789321093005,0.9629193609851779,0.9646376092107617
load,07:10,334,140.5836997005988,141.72954780783306,1.145848107234258,191.04500718755352,184.28716137082134,-2.997050898203621,2.0190065080072883,0.9660020607582666,0.9686430662943581
load,07:20,334,144.57014850299404,146.3222919867412,1.7521434837471475,197.256015853888,193.06957107768505,-3.808442514970057,0.9639970021287191,0.9676614760295092,0.9691110286588852
load,07:30,334,158.0137874251497,162.08839628612992,4.07460886098022,211.7676805043975,214.07605752639498,-3.9192365269461025,0.6875309580960528,0.9613497334424825,0.9606677396404049
load,07:40,334,153.06625568862276,152.2418560007549,-0.8243996878678672,204.9484233280203,198.33270690935703,-1.6819613772455153,3.0036309860645947,0.9555891277821287,0.9589451304332616
load,07:50,334,152.33559356287427,144.40851975404667,-7.9270738088276005,199.40647246656013,187.785997629995,-1.5351779940119918,4.015363998324047,0.9804701416964714,0.9826383400308906
load,08:00,334,164.99375748502996,166.00075517053054,1.006997685500579,211.37621924367815,216.82008753014807,-3.423907185628756,3.2568090950373807,0.9907181706064725,0.9902279052648802
load,08:10,334,142.36248233532933,158.79019698481468,16.427714649485353,194.6331535086095,212.11193970972803,-3.0432401197604775,3.8760167894766564,0.9926795563630905,0.9913523655846791
load,08:20,334,153.46431661676647,166.60445739014742,13.14014077338095,206.0002906786443,221.04631644836408,-3.0680794910179956,4.086374643163348,0.9909126670916929,0.9895535454773156
load,08:30,334,158.2298353293413,171.44179284061497,13.211957511273653,217.03186500550896,225.83087727263415,-4.58142215568863,3.1848122384414506,0.9903504516273024,0.9895469541506767
load,08:40,334,151.02943697604792,157.01313902314257,5.983702047094653,205.6597552553179,207.00046598542934,-5.5121223053892345,2.626038677997605,0.9915766696191544,0.9915053898000804
load,08:50,334,145.209544011976,148.31246478846288,3.102920776486883,195.7785083094272,195.11067542650167,-4.880803592814364,2.9464578170446005,0.9908114581972706,0.9908728220629657
load,09:00,334,154.30646706586828,154.4553073991832,0.1488403333149222,205.17560906875977,209.0220567596877,-4.196736526946097,2.91706927116056,0.9863722813308761,0.985761077874916
load,09:10,334,149.9637118263473,155.1068301752993,5.143118348952015,198.87023634722667,202.35601839258894,-5.630497155688619,1.0609867968754358,0.9868797080279296,0.9863270946395478
load,09:20,334,157.1299904191617,158.0554184765767,0.9254280574150187,207.6839984835135,208.03431279944596,-5.5201787425149895,0.7537514990192762,0.9861968897617481,0.9860759116656387
load,09:30,334,164.60037425149696,167.96358665720538,3.363212405708424,220.62485386553487,220.68962707866882,-4.079925149700588,2.16138816280911,0.9839054789249592,0.9838027099528166
load,09:40,334,150.236927245509,151.0866522619959,0.8497250164869001,196.93333032373474,198.9204044614254,-5.010564970059893,2.136302218608009,0.987288441201635,0.9869617391379588
load,09:50,334,149.64720613772457,152.93770863992467,3.2905025022000984,198.62340552454447,201.95422461406102,-4.754537275449111,1.9614650182625712,0.9872843694863487,0.9867915508305337
load,10:00,334,153.83534431137727,157.18963990181757,3.3542955904403016,207.0562242558017,210.69070309086575,-3.0519311377245897,2.442776542465647,0.9861902123021441,0.9856373493059576
load,10:10,334,145.23611811377245,142.9669465192321,-2.269171594540353,200.29826750001627,199.39722155014326,-3.5831576347305454,2.6428486619968306,0.9871358100190888,0.987198564408951
