scenario,description,decision_hours,plan_kwh,adjusted_kwh,emergency_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,spill_kwh,storage_end,seconds
0+6,0:00 计划，仅 6:00 调整,6,20523107.471096005,21088907.83161261,136136.70958589466,12509824.11360024,616612.6970281333,870599.9306093499,13997036.741237722,2029267.677675,5788.25521444393,70.42967529999805
0+12,0:00 计划，仅 12:00 调整,12,20521036.351452243,20959480.580181163,198364.42134712645,12508956.149146508,482412.46238913113,1130588.7457480803,14121957.35728372,1948802.034735163,5788.255214443928,62.4243349999997
0+6+12,0:00 计划，6:00、12:00 调整,"6,12",20520810.74098688,21109199.18177178,107622.74800451325,12508859.49085418,646636.1841032298,674748.1344854848,13830243.809442895,2015579.0936837618,5788.255214443928,90.43104800000219
0+6+18,0:00 计划，6:00、18:00 调整,"6,18",20507205.500061363,21173563.347032495,47495.40974739286,12503034.880734822,818740.5256840062,267431.53713515884,13589206.943553988,2028483.4928259053,5788.255214443927,79.03860519999944
0+12+18,0:00 计划，12:00、18:00 调整,"12,18",20506697.57206297,21020473.778759286,133943.3079998196,12502809.04179117,630974.2394428108,693807.6002940632,13827590.881528044,1947802.1100438535,5788.255214443927,71.00944090000121
0+6+12+18,0:00 计划，6:00、12:00、18:00 调整,"6,12,18",20506846.115511455,21165585.05880744,47836.98081679665,12502873.84876418,785257.5123567812,269648.9192722646,13557780.280393224,2014571.7053140686,5788.255214443927,98.12743120000232
