stage,quantile_overnight,quantile_day,days,plan_kwh,adjusted_kwh,plan_cost,adjustment_cost,emergency_kwh,emergency_cost,spill_kwh,charge_kwh,discharge_kwh,total_cost,storage_end,seconds
coarse,0.9,0.55,334,20723589.007742587,21359553.211255345,12534137.115589466,775889.5370762969,57428.22876133703,339583.25465836463,2222811.360638531,6606958.217094934,5351977.632683436,13649609.907324126,5769.801423857627,147.75026580000122
coarse,0.9,0.45,334,20325186.502840266,21071335.601997174,12236303.300201602,946542.7972207007,99663.00109008481,591448.6459134863,1970254.4069857162,6641229.807131378,5379675.105996507,13774294.74333579,5710.482087941255,151.45480889999453
coarse,0.9,0.25,334,19476678.44831159,20523252.130794536,11604877.60407937,1470443.7951480004,261028.13428467736,1538988.1255310532,1595713.9165643367,6576921.600306012,5327544.746757792,14614309.524758423,5554.112432990734,153.35116710000148
coarse,0.9,0.65,334,21136537.916968707,21699177.425524674,12848124.083093699,665069.2201055954,29540.95650982397,175199.2567170431,2548653.692037734,6533409.4130950775,5292534.218064985,13688392.559916338,5810.96070505943,149.91617199999746
fine,0.55,0.575,334,20357384.58385376,21052303.210529234,12404616.124608094,833818.8034685724,57298.51358985527,322645.99999061204,1906341.934020239,6655030.517154782,5390960.222022588,13561080.928067278,5775.939695430186,151.84953240000323
fine,0.55,0.55,334,20255693.830580615,20974978.765015434,12328294.084165026,870070.3241274576,66902.68068622689,378196.25504565606,1836269.1392716633,6667180.464736143,5400757.65327282,13576560.66333814,5769.801423857627,152.74134770000092
fine,0.575,0.55,334,20279301.004775625,20990586.390274752,12338698.89280384,861093.9237967795,65976.1832748707,374110.2240899436,1851692.499414218,6663273.978975166,5397593.399806427,13573903.040690564,5769.801423857627,152.6878773999997
fine,0.55,0.5,334,20056533.823326174,20827510.52427564,12179254.002021514,949416.8349803265,89835.59635550022,510860.1936361336,1709027.8881548264,6681118.283265356,5411989.545755707,13639531.030637974,5738.64512124295,153.89448170000105
fine,0.575,0.525,334,20178750.025532577,20915582.95774516,12263397.920156237,900229.7699809971,76583.18440538901,435568.8166841251,1785617.7953236464,6671930.134216302,5404571.282356082,13599196.506821359,5752.173597595023,154.0335836000013
fine,0.575,0.5,334,20080145.466872856,20843444.807308525,12189649.325132808,940514.2973945019,88258.9525073915,503521.27519572654,1723965.0561327983,6678068.13172222,5409518.923005763,13633684.897723036,5738.64512124295,154.49774430000252
fine,0.55,0.525,334,20155090.896143418,20899775.662379615,12252978.215481125,909159.0411800643,77892.71704755609,441573.9263548488,1770462.2031094828,6675392.394694163,5407375.713343145,13603711.18301604,5752.173597595023,155.28451550000318
fine,0.55,0.6,334,20459221.623252276,21132945.577285092,12481881.28991312,802396.0192045842,49038.24059506947,274762.48305563943,1981476.359401974,6640720.754358111,5379402.790846587,13559039.792173345,5788.255214443927,155.79002709999622
fine,0.575,0.575,334,20380992.668623142,21067976.57837076,12415024.675024005,824885.602227517,56623.24938755439,319796.39457049686,1922134.6386810064,6650848.406514965,5387572.712404331,13559706.671822019,5775.939695430186,152.73402409999835
fine,0.6,0.575,334,20405004.833709996,21084615.942495655,12425601.861798048,816593.5679440905,56034.91589408643,317275.3880756706,1938993.2029035867,6646598.229719518,5384130.069200024,13559470.817817809,5775.939695430186,152.19770290000451
fine,0.6,0.5,334,20104168.392216474,20860088.25007767,12200215.91493789,932103.8558625131,86993.92260431434,497579.86615595425,1739906.0470226516,6675107.194754901,5407120.564062238,13629899.636956356,5738.64512124295,156.8832112999953
fine,0.575,0.6,334,20482833.12352693,21148783.273768235,12492293.62969902,793506.6976988969,48387.80134783821,271985.1752715956,1997519.933099326,6636213.825613705,5375752.178563615,13557785.502669511,5788.255214443927,157.93749429999298
fine,0.6,0.525,334,20202811.979337204,20932027.106374025,12273985.926099928,891696.1421223755,75588.59545991827,431008.0138759303,1801717.0243303298,6668510.821988565,5401801.639451613,13596690.082098233,5752.173597595023,157.26183239999955
fine,0.625,0.5,334,20128843.26936865,20877677.12357523,12211046.460636651,924078.4516430213,85972.773037949,492852.56854292663,1757089.8227598066,6671864.816828864,5404494.237942143,13627977.4808226,5738.64512124295,156.80450230000133
fine,0.6,0.6,334,20506846.115511455,21165585.05880744,12502873.84876418,785257.5123567812,47836.98081679665,269648.9192722646,2014571.7053140686,6631999.048210576,5372338.208867079,13557780.280393224,5788.255214443927,157.77049489999627
fine,0.625,0.525,334,20227508.28368198,20949639.430779353,12284830.677729713,883748.2864340219,74745.27170339866,427213.88393443293,1819196.6777038833,6664770.544489853,5398772.0146776615,13595792.848098168,5752.173597595023,158.36373040000035
fine,0.625,0.575,334,20429668.94559842,21102380.803098366,12436441.023781568,808880.8517357763,55374.752868707306,314409.27950849745,1956894.2725812362,6642406.797612547,5380735.0091933785,13559731.155025842,5775.939695430186,150.8393997000021
fine,0.625,0.55,334,20327972.1419535,21024592.290544294,12360107.730176983,844654.0718212428,64584.77430808893,368025.8178558732,1885824.4144227048,6655287.538418728,5391124.3829557095,13572787.6198541,5769.801423857627,153.95135379999556
fine,0.65,0.575,334,20454604.487707105,21120695.890683383,12447426.221660443,801384.4955179478,54803.12321866282,312035.62002189434,1975421.4713268671,6638281.845977556,5377393.798369038,13560846.337200286,5775.939695430186,151.18421310000122
fine,0.65,0.5,334,20153794.179803357,20895888.864820443,12222019.988930585,916340.8516801166,85035.96200044708,488605.5287692157,1774964.5400723023,6668708.042593081,5401937.250811162,13626966.369379917,5738.64512124295,154.1946564000027
fine,0.65,0.55,334,20352905.67175418,21042799.661462173,12371085.398424057,837151.0560483081,63998.95650334564,365581.0665454705,1904221.214057746,6651207.29356652,5387819.384625422,13573817.521017835,5769.801423857627,153.14813100000174
fine,0.65,0.525,334,20252489.072099,20967843.647002656,12295825.137640348,876043.6301790628,73976.22888334625,423828.2093939457,1837316.887014269,6661165.092347033,5395851.5984419715,13595696.977213357,5752.173597595023,155.04991229999723
fine,0.625,0.6,334,20531558.09201429,21183432.761893246,12513735.707009392,777385.3296841399,47386.46903414787,267871.06627434475,2032754.580670771,6627863.868981481,5368988.7136915075,13558992.102967877,5788.255214443927,156.35714900000312
fine,0.65,0.6,334,20556498.719383765,21201766.402423803,12524724.412182776,769806.3514975321,47014.41714761179,266534.99163772655,2051555.4656879916,6623446.519648915,5365410.660732141,13561065.755318036,5788.255214443927,154.6313710999966
slice-day,0.6,0.8,334,21447414.847228013,22012383.150418524,13232688.39821479,657007.8771246275,12438.479397526597,65662.09782034658,2868749.214536781,6408396.148256669,5191513.22794406,13955358.373159764,5913.447913674051,149.3213154000041
slice-day,0.6,0.7,334,20938789.168718856,21534068.673115138,12833704.783378277,696543.8809235444,25231.066703223638,138599.48886677722,2377339.077174872,6543885.96880868,5301114.801131872,13668848.1531686,5838.867362034945,151.73165110000264
slice-day,0.6,0.4,334,19701196.185613938,20586552.905323483,11901191.197133576,1139951.6822512231,148463.19375497938,855332.6657844142,1529028.26034151,6668872.844891061,5402074.501120781,13896475.545169214,5670.495975221993,152.2682297000065
slice-day,0.6,0.3,334,19280593.185713448,20317333.95382352,11588404.033916673,1406116.7095266066,237569.76011607322,1370576.3629994695,1359059.362354018,6615363.618413924,5358708.761795023,14365097.106442748,5597.4567149968125,153.56799119999778
slice-night,0.7,0.6,334,20608416.5166729,21242196.746940456,12547591.297621049,756611.8078820059,45770.780330919806,261859.1287534984,2092444.3724356368,6614487.577292595,5358153.917423521,13566062.234256553,5788.255214443927,153.08173940000415
slice-night,0.5,0.6,334,20412468.325674698,21103152.055836357,12461332.357650986,821983.0181093897,50516.97139044569,281052.4968606902,1951588.967181886,6648997.60470926,5386107.039631009,13564367.872621067,5788.255214443927,155.70038080000086
slice-night,0.45,0.6,334,20365803.47728267,21076422.102668718,12440819.202593151,845115.8512049692,52816.548499468314,291037.1070557234,1925888.5643434764,6655681.956181855,5391521.364323814,13576972.160853844,5788.255214443927,157.02351470000576
slice-day,0.6,0.2,334,18808714.73508245,20033841.271456808,11237064.605849156,1750748.4694388376,374355.73418466846,2157158.224160351,1232343.8207007735,6509876.498216563,5273212.808242522,15144971.299448345,5514.745403549857,157.9699630000032
slice-night,0.75,0.6,334,20666183.680494312,21289926.11180523,12572994.476396712,745040.9186735498,44874.0814802049,258568.5423498233,2140949.6205653027,6605684.513526119,5351023.43577267,13576603.937420085,5788.255214443927,139.41682049999508
slice-night,0.85,0.6,334,20816916.479719684,21422242.25286756,12639206.881048214,724426.7641476799,42639.835807050404,250524.1800593131,2274937.667401866,6585125.821697851,5334370.89539177,13614157.825255208,5788.255214443927,139.6102705000012
slice-night,0.9,0.6,334,20927094.20088705,21521734.992328383,12687826.558120674,712432.9781072027,41771.49065200238,247186.934830537,2375383.401236138,6575539.824179402,5326606.237401827,13647446.471058413,5788.255214443927,138.7248722000004
slice-night,0.95,0.6,334,21084548.803458776,21665736.711206567,12757571.7292183,697265.387075411,41000.76165971347,243467.73421133021,2520588.225726249,6565151.220999416,5318191.468826039,13698304.850505041,5788.255214443927,140.034610900002
slice-night,0.8,0.6,334,20735186.927042544,21349361.02545002,12603282.13387019,734249.9415877396,43890.39983598738,255154.75945774256,2201292.1124431416,6595730.514172109,5342960.696295918,13592686.834915673,5788.255214443927,141.7456347999978
